ISO,COD-AB URL,COD-AB level,COD-AB contributor,COD-AB ADM1 units,COD-AB ADM2 units,COD-AB ADM3 units,COD-AB ADM4 units,COD-AB services,COD-PS URL,COD-PS level,COD-PS contributor,COD-PS services,COD-EM URL,COD-EM level,COD-EM services
PRY,https://data.humdata.org/dataset/cod-ab-pry,cod-standard,OCHA Latin America and the Caribbean (ROLAC),18,250,,,False,https://data.humdata.org/dataset/cod-ps-pry,cod-standard,UNFPA,False,,,
PER,https://data.humdata.org/dataset/cod-ab-per,cod-enhanced,OCHA Latin America and the Caribbean (ROLAC),25,196,1873,,True,https://data.humdata.org/dataset/cod-ps-per,cod-enhanced,UNFPA,True,,,
PHL,https://data.humdata.org/dataset/cod-ab-phl,cod-enhanced,OCHA Philippines,17,88,1642,42048,True,https://data.humdata.org/dataset/cod-ps-phl,cod-standard,UNFPA,True,,,
POL,https://data.humdata.org/dataset/cod-ab-pol,cod-enhanced,OCHA Field Information Services Section (FISS),16,380,,,True,https://data.humdata.org/dataset/cod-ps-pol,cod-standard,OCHA Field Information Services Section (FISS),True,https://data.humdata.org/dataset/cod-em-pol,cod-enhanced,True
PRI,https://data.humdata.org/dataset/cod-ab-pri,cod-standard,OCHA Field Information Services Section (FISS),78,,,,False,https://data.humdata.org/dataset/cod-ps-pri,cod-standard,OCHA Field Information Services Section (FISS),True,,,
QAT,https://data.humdata.org/dataset/cod-ab-qat,cod-enhanced,OCHA Middle East and North Africa (ROMENA),8,91,781,,False,https://data.humdata.org/dataset/cod-ps-qat,cod-enhanced,UNFPA,False,https://data.humdata.org/dataset/cod-em-qat,cod-enhanced,False
ROU,https://data.humdata.org/dataset/cod-ab-rou,cod-enhanced,OCHA Field Information Services Section (FISS),8,42,,,True,https://data.humdata.org/dataset/cod-ps-rou,cod-enhanced,UNFPA,True,https://data.humdata.org/dataset/cod-em-rou,cod-enhanced,True
RUS,https://data.humdata.org/dataset/cod-ab-rus,cod-standard,OCHA Field Information Services Section (FISS),8,83,,,False,,,,,,,
RWA,https://data.humdata.org/dataset/cod-ab-rwa,cod-standard,OCHA Regional Office for Southern and Eastern Africa (ROSEA),5,30,416,1000,False,https://data.humdata.org/dataset/cod-ps-rwa,cod-enhanced,UNFPA,True,,,
BLM,https://data.humdata.org/dataset/cod-ab-blm,cod-standard,OCHA Field Information Services Section (FISS),,,,,False,https://data.humdata.org/dataset/cod-ps-blm,cod-standard,OCHA Latin America and the Caribbean (ROLAC),True,,,
