ISO,COD-UID,contributor,error,resource name,pcode headers,name headers,total pop header,duplicates,blanks
ECU,cod-ps-ecu,UNFPA,,ecu_admpop_adm1_2020.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN",T_TL,,
EGY,cod-ps-egy,OCHA Field Information Services Section (FISS),,egypt_population_estimate_compas_2012_v1.1_0_fis_v2.csv,"ADM1_PCODE, ADM0_PCODE","ADM1_AR, ADM0_EN, ADM1_EN, ADM0_AR",T_TL,,
ERI,cod-ps-eri,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,eri_adm0_pop_20170818_v1.csv,ADM0_PCODE,ADM0_EN,T_TL,,
ERI,cod-ps-eri,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,eri_adm1_pop_20170818_v2.csv,"Admn1code, Admin0code",,T_TL,,
ERI,cod-ps-eri,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,eri_adm2_pop_20170818_v2.csv,"ADM1_PCODE, ADM2_PCODE","ADM2_EN, ADM1_EN",T_TL,,
ETH,cod-ps-eth,OCHA Ethiopia,,eth_admpop_adm0_2022_v2.csv,ADM0_PCODE,,T_TL,,
ETH,cod-ps-eth,OCHA Ethiopia,,eth_admpop_adm1_2022_v2.csv,"admin0Pcode, admin1Pcode","admin0Name_en, admin1Name_en",T_TL,,
ETH,cod-ps-eth,OCHA Ethiopia,,eth_admpop_adm2_2022_v2.csv,"ADM1_PCODE, ADM0_PCODE, ADM2_PCODE","ADM0_EN, ADM2_EN, ADM1_EN",T_TL,,
ETH,cod-ps-eth,OCHA Ethiopia,,eth_admpop_adm3_2022_v2.csv,"ADM1_PCODE, ADM3_PCODE, ADM0_PCODE, ADM2_PCODE","ADM3_EN, ADM0_EN, ADM2_EN, ADM1_EN",T_TL,,
FJI,cod-ps-fji,OCHA Regional Office for Asia and the Pacific (ROAP),,fji_pplp_adm0_country_2017_v2.csv,ADM0_PCODE,ADM0_EN,T_TL,,
FJI,cod-ps-fji,OCHA Regional Office for Asia and the Pacific (ROAP),,fji_pplp_adm1_division_2017_v3.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN",T_TL,,
FJI,cod-ps-fji,OCHA Regional Office for Asia and the Pacific (ROAP),,fji_pplp_adm2_province_2017_v2.csv,"ADM1_PCODE, ADM0_PCODE, ADM2_PCODE","ADM0_EN, ADM2_EN, ADM1_EN",T_TL,,
FJI,cod-ps-fji,OCHA Regional Office for Asia and the Pacific (ROAP),,fji_pplp_adm3_tikina_2017_v2.csv,"ADM1_PCODE, ADM3_PCODE, ADM0_PCODE, ADM2_PCODE","ADM3_EN, ADM0_EN, ADM2_EN, ADM1_EN",T_TL,,
FSM,cod-ps-fsm,OCHA Office of the Pacific Islands,,fsm_pplp_adm0_country_v2.csv,adm0_Pcode,adm0Name,T_TL,,
FSM,cod-ps-fsm,OCHA Office of the Pacific Islands,,fsm_pplp_adm1_state_v2.csv,adm1_Pcode,adm1Name,T_TL,,
FSM,cod-ps-fsm,OCHA Office of the Pacific Islands,,fsm_pplp_adm2_municipality_v2.csv,"adm2_Pcode, adm1_Pcode","adm1Name, adm2_Name",T_TL,,
GAB,cod-ps-gab,UNFPA,,gab_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_NAME,T_TL,,
GAB,cod-ps-gab,UNFPA,,gab_admpop_adm1_2022.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_NAME, ADM1_NAME",T_TL,,
GEO,cod-ps-geo,OCHA ROCCA (Closed),,geo_admpop_adm0_v2.csv,ADM0_PCODE,"ADM0_KA, ADM0_EN",T_TL,,
GEO,cod-ps-geo,OCHA ROCCA (Closed),,geo_admpop_adm1_v4.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_KA, ADM0_EN, ADM1_EN, ADM1_KA",T_TL,,
GEO,cod-ps-geo,OCHA ROCCA (Closed),,geo_admpop_adm2_v3.csv,"ADM1_PCODE, ADM0_PCODE, ADM2_PCODE","ADM2_KA, ADM2TYPE_KA, ADM0_EN, ADM2_EN, ADM1_EN, ADM0_KA, ADM2TYPE_EN, ADM1_KA",T_TL,,
GHA,cod-ps-gha,UNFPA,,gha_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_EN,T_TL,,
GHA,cod-ps-gha,UNFPA,,gha_admpop_adm1_2022.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN",T_TL,,
GHA,cod-ps-gha,UNFPA,,gha_admpop_adm2_2022.csv,"ADM1_PCODE, ADM0_PCODE, ADM2_PCODE","ADM2_NAME, ADM0_NAME, ADM1_NAME",T_TL,,
GIN,cod-ps-gin,UNFPA,,gin_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_EN,T_TL,,
GIN,cod-ps-gin,UNFPA,,gin_admpop_adm1_2022.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN",T_TL,,
GIN,cod-ps-gin,UNFPA,,gin_admpop_adm2_2022.csv,"ADM1_PCODE, ADM0_PCODE, ADM2_PCODE","ADM0_EN, ADM2_EN, ADM1_EN",T_TL,,
GLP,cod-ps-glp,OCHA Latin America and the Caribbean (ROLAC),,glp_admpop_adm0_v2.csv,ADM0_PCODE,ADM0_FR,T_TL,,
GLP,cod-ps-glp,OCHA Latin America and the Caribbean (ROLAC),,glp_admpop_adm1_v2.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_FR, ADM1_FR",T_TL,,
GLP,cod-ps-glp,OCHA Latin America and the Caribbean (ROLAC),,glp_admpop_adm2_v2.csv,"ADM1_PCODE, ADM0_PCODE, ADM2_PCODE","ADM2_FR, ADM0_FR, ADM1_FR",T_TL,,
