ISO,COD-UID,error,resource name,pcode headers,name headers,total pop header,duplicates,blanks
BRB,cod-ps-brb,,brb_admpop_adm1_2010_v2.csv,"ADM0_PCODE, ADM1_PCODE","NAME_1, NAME_0",T_TL,,
BTN,cod-ps-btn,,btn_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_NAME,T_TL,,
BTN,cod-ps-btn,,btn_admpop_adm1_2022.csv,"ADM0_PCODE, ADM1_PCODE","ADM0_NAME, ADM1_NAME",T_TL,,
BWA,cod-ps-bwa,,bwa_admpop_adm0_2021_v2.csv,ADM0_CODE,ADM0_EN,T_TL,,
BWA,cod-ps-bwa,,bwa_admpop_adm1_2021_v2.csv,"ADM1_PCODE, ADM0_CODE","ADM1_NAME, ADM0_EN",T_TL,,
BWA,cod-ps-bwa,,bwa_admpop_adm2_2021_v2.csv,"ADM1_PCODE, ADM0_CODE, ADM2_PCODE","ADM2_NAME, ADM1_NAME, ADM0_EN",T_TL,,
BWA,cod-ps-bwa,,bwa_admpop_adm3_2021_v2.csv,"ADM0_PCODE, ADM2_PCODE, ADM3_PCODE, ADM1_PCODE","ADM2_EN, ADM3_EN, ADM1_EN, ADM0_EN",T_TL,,
CAF,cod-ps-caf,,caf_pplp_adm1_160214.csv,Adm1_pcode,Adm1_name,Proj_2015,,
CAF,cod-ps-caf,,caf_pplp_adm2_160214.csv,"Adm1_Pcode, Adm2_Pcode","Adm2_name, Adm1_name",Proj_2015,,
CAF,cod-ps-caf,,caf_pplp_adm3_160214.csv,"Adm2_pcode, Adm1_pcode, Adm3_pcode","Adm2_name, Adm2_name2, Adm1_name",Proj_2015,,
